SubGroupNo,Point,12-22,23-39,40-59,60-999
1,0,38,40,40,41
1,1,46,49,50,51
1,2,52,55,58,59
1,3,57,60,62,65
1,4,62,64,67,68
1,5,67,68,71,69
1,6,73,73,74,72
1,7,79,77,77,74
1,8,80,80,80,77
2,0,31,28,29,24
2,1,38,36,36,32
2,2,42,42,40,38
2,3,46,46,44,42
2,4,49,49,48,47
2,5,53,52,51,49
2,6,53,52,51,49
2,7,60,60,58,56
2,8,65,64,61,60
2,9,71,70,66,65
2,10,77,79,74,72
3,0,32,34,35,30
3,1,37,40,40,37
3,2,39,43,43,41
3,3,42,45,46,44
3,4,44,47,48,47
3,5,46,48,50,49
3,6,48,50,52,51
3,7,50,51,54,53
3,8,52,53,55,55
3,9,54,55,58,57
3,10,57,57,60,61
3,11,60,60,63,65
3,12,67,67,69,71
4,0,20,21,21,20
4,1,23,24,24,20
4,2,27,29,29,21
4,3,32,32,32,25
4,4,35,35,35,3
4,5,39,38,38,34
4,6,42,40,40,37
4,7,45,43,43,40
4,8,49,46,46,44
4,9,52,50,50,49
4,10,55,54,54,54
4,11,60,59,59,60
4,12,67,67,67,69
5,0,31,30,27,23
5,1,37,34,32,29
5,2,41,37,36,32
5,3,44,40,38,35
5,4,47,43,40,37
5,5,50,45,42,40
5,6,53,48,45,42
5,7,56,51,47,44
5,8,58,53,50,46
5,9,60,56,53,48
5,10,64,59,56,51
5,11,68,63,60,56
5,12,73,70,68,63
6,0,32,33,31,20
6,1,38,38,37,35
6,2,41,41,40,39
6,3,45,44,43,42
6,4,47,46,45,44
6,5,50,47,46,46
6,6,52,49,48,47
6,7,54,51,50,49
6,8,55,53,52,51
6,9,57,55,53,53
6,10,60,57,56,55
6,11,63,60,59,58
6,12,68,66,65,65
7,0,32,33,32,20
7,1,38,40,38,35
7,2,43,44,41,41
7,3,47,46,44,44
7,4,50,49,46,47
7,5,52,51,48,49
7,6,54,54,51,51
7,7,57,56,53,52
7,8,60,58,56,55
7,9,63,60,59,57
7,10,67,63,63,60
7,11,71,67,68,64
7,12,75,73,75,69
This document was made with dhtmlx library. http://dhtmlx.com,,,,,