ItemName,SubGroup,A1,A2,A3,A4,A5,A6,A7,A8
IQ001[SQ001], ,0,1,0,0,0,0,0,0
IQ002[SQ001], ,0,0,0,1,0,0,0,0
IQ003[SQ001], ,1,0,0,0,0,0,0,0
IQ004[SQ001], ,0,0,1,0,0,0,0,0
IQ005[SQ001], ,0,0,0,0,0,1,0,0
IQ006[SQ001], ,0,0,0,0,1,0,0,0
IQ007[SQ001], ,0,0,0,0,0,1,0,0
IQ008[SQ001], ,0,0,1,0,0,0,0,0
IQ009[SQ001], ,1,0,0,0,0,0,0,0
IQ010[SQ001], ,0,0,0,0,1,0,0,0
IQ011[SQ001], ,0,0,0,1,0,0,0,0
IQ012[SQ001], ,0,1,0,0,0,0,0,0
IQ013[SQ001], ,0,0,1,0,0,0,0,0
IQ014[SQ001], ,0,0,0,0,0,1,0,0
IQ015[SQ001], ,1,0,0,0,0,0,0,0
IQ016[SQ001], ,0,0,1,0,0,0,0,0
IQ017[SQ001], ,1,0,0,0,0,0,0,0
IQ018[SQ001], ,0,0,0,0,1,0,0,0
IQ019[SQ001], ,0,0,0,1,0,0,0,0
IQ020[SQ001], ,0,0,0,0,0,1,0,0
IQ021[SQ001], ,0,1,0,0,0,0,0,0
IQ022[SQ001], ,0,0,0,0,1,0,0,0
IQ023[SQ001], ,0,1,0,0,0,0,0,0
IQ024[SQ001], ,0,0,0,1,0,0,0,0
IQ025[SQ001], ,0,0,0,0,0,0,0,1
IQ026[SQ001], ,0,0,1,0,0,0,0,0
IQ027[SQ001], ,0,0,0,0,1,0,0,0
IQ028[SQ001], ,0,0,0,0,0,0,0,1
IQ029[SQ001], ,0,0,0,0,0,0,1,0
IQ030[SQ001], ,0,1,0,0,0,0,0,0
IQ031[SQ001], ,0,0,0,1,0,0,0,0
IQ032[SQ001], ,1,0,0,0,0,0,0,0
IQ033[SQ001], ,0,0,0,0,0,0,1,0
IQ034[SQ001], ,0,0,0,0,0,1,0,0
IQ035[SQ001], ,1,0,0,0,0,0,0,0
IQ036[SQ001], ,0,0,1,0,0,0,0,0
IQ037[SQ001], ,0,0,0,0,1,0,0,0
IQ038[SQ001], ,0,1,0,0,0,0,0,0
IQ039[SQ001], ,0,0,0,0,1,0,0,0
IQ040[SQ001], ,0,0,0,0,0,0,1,0
IQ041[SQ001], ,0,0,0,0,0,0,0,1
IQ042[SQ001], ,0,0,0,0,0,1,0,0
IQ043[SQ001], ,0,0,0,1,0,0,0,0
IQ044[SQ001], ,0,1,0,0,0,0,0,0
IQ045[SQ001], ,1,0,0,0,0,0,0,0
IQ046[SQ001], ,0,0,1,0,0,0,0,0
IQ047[SQ001], ,0,0,0,1,0,0,0,0
IQ048[SQ001], ,0,0,0,0,0,1,0,0
IQ049[SQ001], ,0,0,0,0,0,0,1,0
IQ050[SQ001], ,0,0,0,0,0,1,0,0
IQ051[SQ001], ,0,0,0,0,0,0,0,1
IQ052[SQ001], ,0,0,1,0,0,0,0,0
IQ053[SQ001], ,1,0,0,0,0,0,0,0
IQ054[SQ001], ,0,0,0,1,0,0,0,0
IQ055[SQ001], ,0,0,1,0,0,0,0,0
IQ056[SQ001], ,0,1,0,0,0,0,0,0
IQ057[SQ001], ,1,0,0,0,0,0,0,0
IQ058[SQ001], ,0,0,0,0,0,1,0,0
IQ059[SQ001], ,0,0,0,0,1,0,0,0
IQ060[SQ001], ,0,0,0,1,0,0,0,0